C000001_cs_000	Zaměstnanci v ozbrojených silách
C000455_cs_000	Nástrojáři a pracovníci v příbuzných oborech
C000456_cs_000	Seřizovači a obsluha kovoobráběcích strojů
C000457_cs_000	Brusiči, leštiči a ostřiči nástrojů a kovů
C000458_cs_000	Mechanici a opraváři strojů a zařízení
C000459_cs_000	Mechanici a opraváři motorových vozidel
C000460_cs_000	Mechanici a opraváři leteckých motorů a zařízení
C000461_cs_000	Mechanici a opraváři zemědělských, průmyslových a jiných strojů a zařízení
C000462_cs_000	Opraváři jízdních kol a pracovníci v příbuzných oborech
C000463_cs_000	Pracovníci v oblasti uměleckých a tradičních řemesel a polygrafie
C000464_cs_000	Pracovníci v oblasti uměleckých a tradičních řemesel
C000465_cs_000	Výrobci, mechanici a opraváři přesných přístrojů a zařízení
C000466_cs_000	Výrobci a opraváři hudebních nástrojů, ladiči
C000467_cs_000	Klenotníci, zlatníci a šperkaři
C000468_cs_000	Keramici a pracovníci v příbuzných oborech
C000469_cs_000	Skláři, brusiči skla a pracovníci při konečné úpravě skla
C000470_cs_000	Malíři a rytci skla a keramiky a pracovníci v příbuzných oborech
C000471_cs_000	Řezbáři, košíkáři, kartáčníci a pracovníci v příbuzných oborech
C000472_cs_000	Řemeslníci pracující s textilem, kůží a příbuznými materiály (tradiční lidová tvorba)
C000473_cs_000	Pracovníci v oblasti uměleckých a tradičních řemesel jinde neuvedení
C000474_cs_000	Pracovníci polygrafie
C000475_cs_000	Pracovníci přípravy tisku
C000476_cs_000	Tiskaři
C000477_cs_000	Pracovníci konečné úpravy tisku a vazači knih
C000478_cs_000	Pracovníci v oboru elektroniky a elektrotechniky
C000479_cs_000	Montéři, mechanici a opraváři elektrických zařízení
C000480_cs_000	Stavební a provozní elektrikáři
C000481_cs_000	Elektromechanici a seřizovači
C000482_cs_000	Montéři a opraváři elektrických vedení
C000483_cs_000	Mechanici a opraváři elektronických přístrojů a komunikačních technologií
C000484_cs_000	Mechanici a opraváři elektronických přístrojů
C000485_cs_000	Mechanici a opraváři informačních a komunikačních technologií
C000486_cs_000	Zpracovatelé potravin, dřeva, textilu a pracovníci v příbuzných oborech
C000487_cs_000	Výrobci a zpracovatelé potravin a pracovníci v příbuzných oborech
C000488_cs_000	Zpracovatelé masa, ryb a pracovníci v příbuzných oborech
C000489_cs_000	Pekaři, cukráři a výrobci cukrovinek (kromě šéfcukrářů)
C000490_cs_000	Výrobci mléčných produktů
C000491_cs_000	Konzerváři ovoce, zeleniny a příbuzných produktů
C000492_cs_000	Ochutnávači, degustátoři a kontroloři jakosti potravin a nápojů
C000493_cs_000	Zpracovatelé tabáku a výrobci tabákových výrobků
C000494_cs_000	Zpracovatelé dřeva, truhláři (kromě stavebních) a pracovníci v příbuzných oborech
C000495_cs_000	Zpracovatelé dřeva
C000496_cs_000	Truhláři (kromě stavebních) a pracovníci v příbuzných oborech
C000497_cs_000	Seřizovači a obsluha dřevoobráběcích strojů
C000498_cs_000	Výrobci oděvů, výrobků z kůží a kožešin a pracovníci v příbuzných oborech
C000499_cs_000	Krejčí, kožešníci a kloboučníci
C000500_cs_000	Modeláři oděvů, střihači a pracovníci v příbuzných oborech
C000501_cs_000	Šičky, vyšívači a pracovníci v příbuzných oborech
C000502_cs_000	Čalouníci a pracovníci v příbuzných oborech
C000503_cs_000	Zpracovatelé kůže, koželuhové a kožišníci
C000504_cs_000	Obuvníci a pracovníci v příbuzných oborech
C000505_cs_000	Ostatní řemeslní pracovníci a pracovníci v příbuzných oborech
C000506_cs_000	Potápěči
C000507_cs_000	Střelmistři
C000508_cs_000	Kvalitáři a testovači výrobků (kromě potravin a nápojů)
C000509_cs_000	Hubitelé škůdců
C000510_cs_000	Řemeslní a příbuzní pracovníci jinde neuvedení
C000511_cs_000	Obsluha strojů a zařízení, montéři
C000512_cs_000	Obsluha stacionárních strojů a zařízení
C000513_cs_000	Obsluha zařízení na těžbu a zpracování nerostných surovin
C000514_cs_000	Obsluha důlních zařízení (včetně horníků)
C000515_cs_000	Obsluha zařízení na úpravu rudných a nerudných surovin
C000516_cs_000	Vrtači při ropných nebo plynových vrtech a pracovníci v příbuzných oborech
C000517_cs_000	Obsluha strojů na výrobu výrobků z cementu, kamene a ostatních nerostů
C000518_cs_000	Obsluha zařízení na zpracování a povrchovou úpravu kovů
C000519_cs_000	Obsluha zařízení na zpracování kovů
C000520_cs_000	Obsluha zařízení na povrchovou úpravu kovů
C000521_cs_000	Obsluha strojů a zařízení pro chemickou výrobu a na výrobu fotografických materiálů
C000522_cs_000	Obsluha strojů a zařízení pro chemickou výrobu
C000523_cs_000	Obsluha strojů a zařízení na výrobu a zpracování fotografických materiálů
C000524_cs_000	Obsluha strojů na výrobu a zpracování výrobků z pryže, plastu a papíru
C000525_cs_000	Obsluha strojů na výrobu a zpracování výrobků z pryže
C000526_cs_000	Obsluha strojů na výrobu a zpracování výrobků z plastu
C000527_cs_000	Obsluha strojů na výrobu a zpracování výrobků z papíru
C000528_cs_000	Obsluha strojů na úpravu a výrobu textilních, kožešinových a kožených výrobků
C000529_cs_000	Obsluha strojů na úpravu vláken, dopřádání a navíjení příze a nití
C000530_cs_000	Obsluha tkacích a pletacích strojů
C000531_cs_000	Obsluha šicích a vyšívacích strojů
C000532_cs_000	Obsluha strojů na bělení, barvení a čištění tkanin
C000533_cs_000	Obsluha strojů na úpravu kožešin a kůží
C000534_cs_000	Obsluha strojů na výrobu obuvi a příbuzných výrobků
C000535_cs_000	Obsluha strojů v prádelnách a čistírnách
C000536_cs_000	Obsluha strojů na úpravu a výrobu textilních, kožešinových a kožených výrobků jinde neuvedená
C000537_cs_000	Obsluha strojů na výrobu potravin a příbuzných výrobků
C000538_cs_000	Obsluha strojů na výrobu potravin a příbuzných výrobků
C000539_cs_000	Obsluha strojů a zařízení na zpracování dřeva a výrobu papíru
C000540_cs_000	Obsluha strojů a zařízení na výrobu a zpracování papíru
C000541_cs_000	Obsluha strojů a zařízení na zpracování dřeva
C000542_cs_000	Ostatní obsluha stacionárních strojů a zařízení
C000543_cs_000	Obsluha strojů a zařízení na výrobu skla, keramiky a příbuzných výrobků
C000544_cs_000	Obsluha parních turbín, kotlů a příbuzných zařízení
C000545_cs_000	Obsluha strojů na balení, plnění a etiketování
C000546_cs_000	Obsluha stacionárních strojů a zařízení jinde neuvedená
C000547_cs_000	Montážní dělníci
C000548_cs_000	Montážní dělníci
C000549_cs_000	Montážní dělníci mechanických zařízení
C000550_cs_000	Montážní dělníci elektrických a elektronických zařízení
C000551_cs_000	Montážní dělníci jinde neuvedení
C000552_cs_000	Řidiči a obsluha pojízdných zařízení
C000553_cs_000	Strojvedoucí a pracovníci v příbuzných oborech
C000554_cs_000	Strojvedoucí a řidiči kolejových motorových vozíků
C000555_cs_000	Signalisti, brzdaři, výhybkáři, posunovači
C000556_cs_000	Řidiči motocyklů a automobilů (kromě nákladních)
C000557_cs_000	Řidiči motocyklů
C000558_cs_000	Řidiči osobních a malých dodávkových automobilů, taxikáři
C000559_cs_000	Řidiči nákladních automobilů, autobusů a tramvají
C000560_cs_000	Řidiči autobusů, trolejbusů a tramvají
C000561_cs_000	Řidiči nákladních automobilů, tahačů a speciálních vozidel
C000562_cs_000	Obsluha pojízdných zařízení
C000563_cs_000	Řidiči a obsluha zemědělských a lesních strojů
C000564_cs_000	Obsluha zemních a příbuzných strojů
C000565_cs_000	Obsluha jeřábů, zdvihacích a podobných manipulačních zařízení
C000566_cs_000	Obsluha vysokozdvižných vozíků
C000567_cs_000	Pracovníci lodní posádky
C000568_cs_000	Pracovníci lodní posádky
C000569_cs_000	Pomocní a nekvalifikovaní pracovníci
C000570_cs_000	Uklízeči a pomocníci
C000571_cs_000	Uklízeči a pomocníci v domácnostech, hotelích a kancelářích
C000572_cs_000	Uklízeči a pomocníci v domácnostech (kromě hospodyní)
C000573_cs_000	Uklízeči a pomocníci v kancelářích, hotelích a jiných zařízeních
C000574_cs_000	Pracovníci pro ruční mytí vozidel, oken, praní prádla a příbuzní pracovníci (kromě uklízečů a pomocníků v domácnostech, hotelích a kancelářích)
C000575_cs_000	Pracovníci pro ruční praní a žehlení (kromě obsluhy strojů v prádelnách a čistírnách)
C000576_cs_000	Pracovníci pro mytí vozidel
C000577_cs_000	Pracovníci pro mytí oken
C000578_cs_000	Pracovníci úklidu jinde neuvedení
C000579_cs_000	Pomocní pracovníci v zemědělství, lesnictví a rybářství
C000580_cs_000	Pomocní pracovníci v zemědělství, lesnictví a rybářství
C000581_cs_000	Pomocní pracovníci v rostlinné výrobě
C000582_cs_000	Pomocní pracovníci v živočišné výrobě
C000583_cs_000	Pomocní pracovníci ve smíšené hospodářství
C000584_cs_000	Pomocní pracovníci v zahradnictví
C000585_cs_000	Pomocní pracovníci v lesnictví
C000586_cs_000	Pomocní pracovníci v rybářství
C000587_cs_000	Pomocní pracovníci v oblasti těžby, stavebnictví, výroby, dopravy a v příbuzných oborech
C000588_cs_000	Pomocní pracovníci v oblasti těžby a stavebnictví
C000589_cs_000	Pomocní pracovníci v oblasti těžby
C000590_cs_000	Dělníci v oblasti inženýrských staveb
C000591_cs_000	Dělníci v oblasti výstavby budov
C000592_cs_000	Pomocní pracovníci ve výrobě
C000593_cs_000	Ruční baliči
C000594_cs_000	Pomocní pracovníci ve výrobě jinde neuvedení
C000595_cs_000	Pomocní pracovníci v dopravě a skladování
C000596_cs_000	Obsluha ručních a pedálových vozidel
C000597_cs_000	Kočí
C000598_cs_000	Pomocní manipulační pracovníci
C000599_cs_000	Doplňovači zboží
C000600_cs_000	Pomocní pracovníci při přípravě jídla
C000601_cs_000	Pomocní pracovníci při přípravě jídla
C000602_cs_000	Pracovníci pro přípravu rychlého občerstvení
C000603_cs_000	Pomocníci v kuchyni
C000604_cs_000	Pracovníci pouličního prodeje a služeb a pracovníci v příbuzných oborech
C000605_cs_000	Pracovníci pouličních služeb a pracovníci v příbuzných oborech
C000606_cs_000	Pracovníci pouličních služeb a pracovníci v příbuzných oborech
C000607_cs_000	Pouliční prodejci (kromě potravin)
C000608_cs_000	Pouliční prodejci (kromě potravin)
C000609_cs_000	Pracovníci s odpady a jiní nekvalifikovaní pracovníci
C000610_cs_000	Pracovníci s odpady
C000611_cs_000	Pracovníci odvozu a recyklace odpadů
C000612_cs_000	Třídiči odpadů
C000613_cs_000	Uklízeči veřejných prostranství
C000614_cs_000	Ostatní pomocní a nekvalifikovaní pracovníci
C000615_cs_000	Kurýři, doručovatelé balíků a nosiči zavazadel
C000616_cs_000	Pomocní pracovníci údržby budov
C000617_cs_000	Pracovníci provádějící odečet měřidel a výběrčí peněz z prodejních automatů
C000618_cs_000	Nosiči vody a sběrači palivového dříví
C000619_cs_000	Pomocní a nekvalifikovaní pracovníci jinde neuvedení
C000620_cs_000	vedoucí techniky
C000620_cs_001	technická ředitelka
C000620_cs_002	technický ředitel
C000620_cs_003	vedoucí technického oddělení
C000621_cs_000	obsluha zařízení na zpracování kovů
C000621_cs_001	obsluha lisů
C000621_cs_002	obsluha zařízení na tažení kovů
C000621_cs_003	technik zařízení na zpracování kovů
C000621_cs_004	technička zařízení na zpracování kovů
C000622_cs_000	kontrolor přesných zařízení/kontrolorka přesných zařízení
C000622_cs_001	kontrolor přesných přístrojů
C000622_cs_002	kontrolor přesných zařízení
C000622_cs_003	kontrolorka přesných přístrojů
C000622_cs_004	kontrolorka přesných zařízení
C000623_cs_000	technik bezpečnosti letového provozu/technička bezpečnosti letového provozu
C000623_cs_001	technik bezpečnosti letového provozu
C000623_cs_002	technička bezpečnosti letového provozu
C000624_cs_000	manažer pro finanční otázky zařízení/manažerka pro finanční otázky zařízení
C000624_cs_001	manažer pro finanční otázky zařízení
C000624_cs_002	manažer pro otázky příjmů
C000624_cs_003	manažerka pro finanční otázky zařízení
C000624_cs_004	manažerka pro otázky příjmů
C000625_cs_000	zdravotní laborant/zdravotní laborantka
C000625_cs_001	zdravotní laborant
C000625_cs_002	zdravotní laborantka
C000626_cs_000	technik silniční laboratoře/technička silniční laboratoře
C000626_cs_001	technik silniční laboratoře
C000626_cs_002	technička silniční laboratoře
C000627_cs_000	asistent pedagoga na základní škole/asistentka pedagoga na základní škole
C000627_cs_001	asistent pedagoga na základní škole
C000627_cs_002	asistentka pedagoga na základní škole
C000628_cs_000	fyzioterapeut/fyzioterapeutka
C000628_cs_001	fyzioterapeut
C000628_cs_002	fyzioterapeutka
C000628_cs_003	pohybová terapeutka
C000628_cs_004	pohybový terapeut
C000628_cs_005	sportovní fyzioterapeut
C000628_cs_006	sportovní fyzioterapeutka
C000629_cs_000	učitel divadelního herectví/učitelka divadelního herectví
C000629_cs_001	profesor na herecké konzervatoři
C000629_cs_002	profesorka na herecké konzervatoři
C000629_cs_003	učitel divadelního herectví
C000629_cs_004	učitel na herecké fakultě
C000629_cs_005	učitel na herecké konzervatoři
C000629_cs_006	učitelka divadelního herectví
C000629_cs_007	učitelka na herecké fakultě
C000629_cs_008	učitelka na herecké konzervatoři
C000630_cs_000	operátor hydrogenačního stroje/operátorka hydrogenačního stroje
C000630_cs_001	obsluha hydrogenačního stroje
C000630_cs_002	operátor hydrogenačního stroje
C000630_cs_003	operátorka hydrogenačního stroje
C000631_cs_000	operátor výroby těstovin/operátorka výroby těstovin
C000631_cs_001	obsluha stroje na výrobu těstovin
C000631_cs_002	operátor stroje na výrobu těstovin
C000631_cs_003	operátorka stroje na výrobu těstovin
C000631_cs_004	operátoři strojů na výrobu těstovin
C000631_cs_005	pracovnice výroby těstovin
C000631_cs_006	pracovník výroby těstovin
C000632_cs_000	vedoucí prodejny tabákových výrobků
C000632_cs_001	vedoucí trafiky
C000633_cs_000	pracovník půjčovny ostatních strojů, zařízení a výrobků/pracovnice půjčovny ostatních strojů, zařízení a výrobků
C000633_cs_001	pracovnice půjčovny ostatních strojů, zařízení a výrobků
C000633_cs_002	pracovník půjčovny ostatních strojů, zařízení a výrobků
C000633_cs_003	vedoucí půjčovny ostatních strojů, zařízení a výrobků
C000634_cs_000	důlní měřič/důlní měřička
C000634_cs_001	důlní měřič
C000634_cs_002	důlní měřička
C000635_cs_000	odborník na bezpečnost potravin/odbornice na bezpečnost potravin
C000635_cs_001	kontrolor kvality potravin
C000635_cs_002	kontrolorka kvality potravin
C000635_cs_003	odbornice na bezpečnost potravin
C000635_cs_004	odborník na bezpečnost potravin
C000636_cs_000	opravář zemědělských strojů/opravářka zemědělských strojů
