C000001_no_000	Militære yrker og uoppgitt
C000637_no_000	bussjåfør
C000637_no_001	bussjåfør, internasjonal trafikk
C000637_no_002	ekspressbussjåfør
C000637_no_003	rutebussjåfør
C000637_no_004	skolebussjåfør
C000637_no_005	turbussjåfør
C000638_no_000	import-/eksportsjef innen kjøtt og kjøttprodukter
C000638_no_001	etterlevelsesansvarlig, toll, kjøtt og kjøttprodukter
C000638_no_002	importsjef
C000638_no_003	tollansvarlig, kjøtt og kjøttprodukter
C000638_no_004	tollkoordinator, kjøtt og kjøttprodukter
C000639_no_000	boligpolitisk medarbeider
C000640_no_000	sjefskokk
C000641_no_000	maskinoperatør, fiberstoff
C000641_no_001	produksjonsmedarbeider, fiberstoff
C000642_no_000	høyskolerektor
C000642_no_001	rektor, høyere utdanning
C000642_no_002	universitetsrektor
C000643_no_000	arbeidsleder, isoleringsarbeid
C000644_no_000	demonteringstekniker
C000645_no_000	skadebehandler
C000646_no_000	produktutviklingssjef, klær
C000646_no_001	produktsjef, klær
C000646_no_002	produktutviklingsdirektør, klær
C000646_no_003	sjef, produktutviklingsavdeling, klær
C000646_no_004	utviklingsdirektør, klær
C000647_no_000	prosessoperatør, nitroglyserin
C000647_no_001	maskinarbeider, separasjon av nitroglyserin
C000647_no_002	maskinoperatør, separasjon av nitroglyserin
C000647_no_003	medarbeider, separasjon av nitroglyserin
C000647_no_004	operatør, gravimetrisk separator
C000647_no_005	operatør, nitroglyserinseparator
C000647_no_006	produksjonsmedarbeider, nitroglyserin
C000648_no_000	teknisk biomedisiner
C000649_no_000	verge
C000650_no_000	vever
C000650_no_001	arbeidsleder, veving
C000650_no_002	maskinoperatør, veving
C000650_no_003	medarbeider, vevefabrikk
C000650_no_004	operatør, vevemaskin
C000650_no_005	produksjonsmedarbeider, veving
C000651_no_000	flislegger
C000651_no_001	gulvlegger
C000652_no_000	butikksjef, sko og lærvarer
C000652_no_001	butikksjef, fottøy
C000652_no_002	butikksjef, lærvarer
C000652_no_003	butikksjef, sko
C000652_no_004	daglig leder, skobutikk
C000652_no_005	skobutikksjef
C000653_no_000	turoperatørleder
C000654_no_000	birøkter
C000655_no_000	juridisk assistent
C000656_no_000	operatør av oljepumpesystem
C000657_no_000	produsent av vernetøy
C000657_no_001	produsent av sikkerhetsklær
C000657_no_002	produsent av verneutstyr
C000657_no_003	syer, sikkerhetsklær
C000657_no_004	syer, vernetøy
C000657_no_005	sømoperatør, vernetøy
C000658_no_000	maskinoperatør, overflatebehandling
C000658_no_001	maskinarbeider, overflatebehandling
C000658_no_002	maskinoperatør, bestrykning og preging
C000658_no_003	operatør, lakkeringsmaskiner og -ovner
C000658_no_004	operatør, overflatebehandlingsmaskiner
C000658_no_005	overflatebehandler
C000659_no_000	klekkeriansvarlig ved akvakulturbruk
C000659_no_001	akvakulturarbeider, klekkeri
C000659_no_002	klekkeriansvarlig ved fiskeoppdrettsanlegg
C000660_no_000	industrimekaniker, tannhjulproduksjon
C000660_no_001	maskinoperatør, produksjon av presisjonstannhjul
C000660_no_002	maskinoperatør, tannhjulsproduksjon
C000661_no_000	romansvarlig
C000661_no_001	bookingansvarlig
C000661_no_002	hovedresepsjonist
C000661_no_003	resepsjonssjef
C000661_no_004	reservasjonsansvarlig
C000661_no_005	rom- og reservasjonsansvarlig
C000662_no_000	keramikkmaler
C000662_no_001	dekoratør, keramikk
C000662_no_002	dekormaler, keramikk
C000662_no_003	keramikkdekoratør
C000662_no_004	keramikkdesigner og -maler
C000662_no_005	keramikkmaler og -dekoratør
C000662_no_006	keramikkunstner
C000662_no_007	maler, keramiske artikler
C000663_no_000	telekommunikasjonsingeniør
C000664_no_000	lese- og skriveopplæring for voksne
C000665_no_000	kvalitetsansvarlig, sko
C000665_no_001	kvalitetskoordinator, fottøy
C000665_no_002	kvalitetssikringsansvarlig, fottøy
C000665_no_003	kvalitetssjef, fottøy
C000666_no_000	montør av sprinkleranlegg
C000666_no_001	installatør, brannsikkerhetssystem
C000666_no_002	installatør, sprinkleranlegg
C000666_no_003	montør, brannsikkerhetssystem
C000666_no_004	tekniker, sprinkleranlegg
C000667_no_000	distribusjonssjef innen elektronikk og telekommunikasjonsutstyr
C000667_no_001	distribusjonsplanlegger, elektronikk og telekommunikasjonsutstyr
C000667_no_002	forsyningskjedeleder, elektronikk og telekommunikasjonsutstyr
C000667_no_003	logistikkplanlegger, elektronikk og telekommunikasjonsutstyr
C000667_no_004	logistikksjef, elektronikk og telekommunikasjonsutstyr
C000668_no_000	spesiallærer i videregående skole
C000669_no_000	produksjonsleder, film og teater
C000669_no_001	produksjonsleder, film
C000669_no_002	produksjonsleder, teater
C000670_no_000	produksjonssjef, metallindustri
C000670_no_001	anleggssjef, metallindustri
C000670_no_002	driftsingeniør, metallindustri
C000670_no_003	driftsleder, metallindustri
C000670_no_004	leder, metallproduksjon
C000670_no_005	produksjonsdirektør, metallindustri
C000670_no_006	produksjonsleder, metallindustri
C000670_no_007	virksomhetsleder, metallindustri
C000671_no_000	montør av flymotor
C000671_no_001	montør, helikoptermotorer
C000671_no_002	montør, jetmotorer
C000671_no_003	montør, motorer til luftfartøyer med roterende vinger
C000671_no_004	montør, motorer til militære luftfartøyer
C000671_no_005	montør, motorer til sivile luftfartøyer
C000671_no_006	montør, småflymotorer
C000671_no_007	montør, stempelmotorer
C000671_no_008	motormontør, fly
C000671_no_009	motormontør, helikoptre
C000671_no_010	motormontør, jetfly
C000671_no_011	motormontør, luftfartøyer med roterende vinger
C000671_no_012	motormontør, militære luftfartøyer
C000671_no_013	motormontør, sivile luftfartøyer
C000671_no_014	motormontør, småfly
C000671_no_015	motormontør, stempelmotorfly
C000672_no_000	gruveingeniør
C000673_no_000	butikksjef, høreapparater
C000673_no_001	butikksjef, hørselstekniske hjelpemidler
C000673_no_002	salgssjef, forhandler av hørselstekniske hjelpemidler
C000673_no_003	salgssjef, høreapparatbutikk
C000673_no_004	sjef, forhandler av hørselstekniske hjelpemidler
C000673_no_005	sjef, høreapparatbutikk
C000674_no_000	spesialisert selger, jernvare- og fargehandel
C000674_no_001	ekspeditør, fargehandel
C000674_no_002	ekspeditør, jernvare- og fargehandel
C000674_no_003	ekspeditør, jernvarehandel
C000674_no_004	salgsmedarbeider, fargehandel
C000674_no_005	salgsmedarbeider, jernvare- og fargehandel
C000674_no_006	salgsmedarbeider, jernvarehandel
C000674_no_007	selger, fargehandel
C000674_no_008	selger, jernvare- og fargehandel
C000674_no_009	selger, jernvarehandel
C000674_no_010	spesialisert selger, fargehandel
C000674_no_011	spesialisert selger, jernvarehandel
C000675_no_000	grunnskolelærer
C000676_no_000	trikkefører
C000676_no_001	T-banefører
C000676_no_002	sporvognsfører
C000677_no_000	arbeidsleder, beholderproduksjon
C000678_no_000	lageroperatør, klær
C000678_no_001	lagerarbeider, klær
C000678_no_002	lagerarbeider, konfeksjon
C000678_no_003	lagermedarbeider, klær
C000678_no_004	lagermedarbeider, konfeksjon
C000678_no_005	lageroperatør, konfeksjon
C000679_no_000	administrativ assistent
C000680_no_000	operatør av kaffekvern
C000680_no_001	maskinarbeider, kaffekvern
C000680_no_002	produksjonsmedarbeider, kaffe
C000681_no_000	medisinsk sekretær
C000682_no_000	IKT-sikkerhetsadministrator
C000683_no_000	arbeidsleder, murerarbeid
C000684_no_000	prosessoperatør, blanding av skifer
C000684_no_001	maskinarbeider, blanding av skiferkorn
C000684_no_002	maskinoperatør, blanding av skiferkorn
C000684_no_003	operatør, blandeverk for skiferkorn
C000684_no_004	operatør, skiferkornblander
C000684_no_005	produksjonsmedarbeider, blanding av skiferkorn
C000685_no_000	tekniker, marinteknikk
C000686_no_000	leder av auksjonshus
C000686_no_001	leder, auksjonsfirma
C000686_no_002	leder, auksjonsvirksomhet
C000687_no_000	programvareanalytiker
C000688_no_000	regnskapssjef
C000688_no_001	hovedbokholder
C000688_no_002	leder, regnskap
C000688_no_003	leder, regnskapsavdeling
C000688_no_004	regnskapsdirektør
C000688_no_005	teamleder, regnskap
C000689_no_000	støperisjef
C000689_no_001	fabrikksjef, støping
C000689_no_002	leder, støperivirksomhet
C000689_no_003	produksjonssjef, støping
C000689_no_004	prosessleder, støping
C000689_no_005	teknisk sjef, støping
C000690_no_000	telekommunikasjonstekniker
C000690_no_001	antennemontør
C000690_no_002	felttekniker, telekommunikasjonsutstyr
C000690_no_003	installatør, telekommunikasjonsutstyr
C000690_no_004	montør, dataoverføringsutstyr
C000690_no_005	montør, telekommunikasjonskabler
C000690_no_006	montør, telekommunikasjonssystemer
C000690_no_007	montør, telekommunikasjonsutstyr
C000690_no_008	servicetekniker, telekommunikasjonsutstyr
C000690_no_009	tekniker, telekommunikasjonsutstyr
C000690_no_010	telekommunikasjonsinstallatør
C000690_no_011	telekommunikasjonsmontør
C000690_no_012	telekomtekniker
C000690_no_013	vedlikeholdstekniker, telekommunikasjonsutstyr
C000691_no_000	demonstrasjonsmedarbeider
C000691_no_001	demonstrasjonsmedarbeider, hagesenter
C000691_no_002	demonstrasjonsmedarbeider, supermarked
C000691_no_003	demonstrasjonsmedarbeider, varemagasin
C000691_no_004	demonstrasjonsselger, hagesenter
C000691_no_005	demonstrasjonsselger, supermarked
C000691_no_006	demonstratør, varemagasin
C000692_no_000	lærer i maritime fag
C000693_no_000	trader, valutamarkedet
C000694_no_000	tekniker, romfartsteknikk
C000695_no_000	maskinoperatør, bordsag
C000695_no_001	bordsagoperatør
C000695_no_002	maskinarbeider, bordsag
C000695_no_003	maskinoperatør, bjelkesag
C000695_no_004	maskinoperatør, formatsag
C000695_no_005	maskinoperatør, gjærsag
C000695_no_006	maskinoperatør, kappsag
C000695_no_007	maskinoperatør, plankesag
C000695_no_008	maskinoperatør, sirkelsag
C000695_no_009	produksjonsmedarbeider, bjelkesag
C000695_no_010	produksjonsmedarbeider, bordsag
C000695_no_011	produksjonsmedarbeider, bordsirkelsag
C000695_no_012	produksjonsmedarbeider, formatsag
C000695_no_013	produksjonsmedarbeider, gjærsag
C000695_no_014	produksjonsmedarbeider, kappsag
C000695_no_015	produksjonsmedarbeider, plankesag
C000695_no_016	produksjonsmedarbeider, sirkelsag
C000695_no_017	sager
C000696_no_000	arbeidsleder, brobygging
C000697_no_000	murer
C000698_no_000	kjøttskjærer
C000698_no_001	skjærer
C000698_no_002	slakterimedarbeider, skjæring
C000699_no_000	kriminolog
C000700_no_000	videooperatør
C000701_no_000	spesialisert selger, fisk og skalldyr
C000701_no_001	ekspeditør, fisk og skalldyr
C000701_no_002	salgsmedarbeider, fersk fisk
C000701_no_003	salgsmedarbeider, fersk sjømat
C000701_no_004	salgsmedarbeider, fisk
C000701_no_005	salgsmedarbeider, fisk og skalldyr
C000701_no_006	salgsmedarbeider, fiskebod
C000701_no_007	salgsmedarbeider, fiskebutikk
C000701_no_008	salgsmedarbeider, fiskedisk
C000701_no_009	salgsmedarbeider, fiskehandler
C000701_no_010	salgsmedarbeider, fiskemarked
C000701_no_011	salgsmedarbeider, fiskeriprodukter
C000701_no_012	salgsmedarbeider, forhandler av fersk fisk
C000701_no_013	salgsmedarbeider, sjømat
C000701_no_014	selger, fisk og skalldyr
C000702_no_000	produksjonssjef, olje- og gassutvinning
C000702_no_001	driftsleder, gassutvinning
C000702_no_002	driftsleder, olje- og gassutvinning
C000702_no_003	driftsleder, oljeutvinning
C000702_no_004	produksjonsleder, gass
C000702_no_005	produksjonsleder, olje
C000702_no_006	produksjonsleder, olje og gass
C000702_no_007	produksjonssjef, gass
C000702_no_008	produksjonssjef, olje
C000702_no_009	sjef, gassfelt
C000702_no_010	sjef, oljefelt
C000703_no_000	tekniker, metallurgi
C000704_no_000	prosesstekniker, tekstilproduksjon
C000704_no_001	maskinarbeider, spinneri
C000704_no_002	maskinarbeider, spinning og nøsting
C000704_no_003	maskinoperatør, spinning og nøsting
C000704_no_004	nøstemaskinoperatør
C000704_no_005	operatør, spinne- og nøstemaskin
C000704_no_006	produksjonsmedarbeider, spinning og nøsting
C000704_no_007	spinnemaskinoperatør
C000704_no_008	spinner
C000704_no_009	tekstiloperatør, spinning og nøsting
C000705_no_000	gulvlegger, vinyl
C000705_no_001	gulvlegger, halvharde belegg
C000705_no_002	gulvlegger, linoleum
C000705_no_003	legger, halvharde gulv
C000705_no_004	linoleumlegger
C000705_no_005	vinyllegger
C000706_no_000	kvalitetstekniker, tekstilproduksjon
C000707_no_000	produksjonsarbeider, tobakkproduksjon
C000707_no_001	maskinarbeider, tørking av tobakk
C000707_no_002	maskinoperatør, tørking av tobakk
C000707_no_003	medarbeider, tørkerom
C000707_no_004	medarbeider, tørking av tobakk
C000707_no_005	operatør av tørkeanlegg for tobakk
C000707_no_006	tørkeromsarbeider
C000708_no_000	emaljør
C000708_no_001	emaljør, gull
C000708_no_002	emaljør, kobber
C000708_no_003	emaljør, platina
C000708_no_004	emaljør, støpegods
C000708_no_005	emaljør, sølv
C000708_no_006	maskinarbeider, emaljering
C000708_no_007	maskinoperatør, belegging og dypping
C000708_no_008	maskinoperatør, emaljering
C000708_no_009	metallemaljør
C000708_no_010	operatør, dyppemaskin
C000708_no_011	operatør, emaljebad
C000708_no_012	operatør, emaljeringsmaskin
C000708_no_013	produksjonsmedarbeider, gullsmedvarer
C000708_no_014	prosessoperatør, emaljering
C000709_no_000	rekrutteringskonsulent
C000710_no_000	aktuar
C000711_no_000	lysdesigner
C000712_no_000	danserepetitør
C000713_no_000	tekniker, bilbatteri
C000713_no_001	batteriinstallatør, bil
C000713_no_002	batteriinstallatør, buss
C000713_no_003	batteriinstallatør, kjøretøyer
C000713_no_004	batteriinstallatør, lastebil
C000713_no_005	batteriinstallatør, motorvogn
C000713_no_006	batterimontør, bil
C000713_no_007	batterireparatør, bil
C000713_no_008	batteritekniker, bil
C000713_no_009	batteritekniker, buss
C000713_no_010	batteritekniker, kjøretøyer
C000713_no_011	batteritekniker, lastebil
C000713_no_012	batteritekniker, motorvogn
C000713_no_013	batteritester, bilbatteri
C000713_no_014	bilelektriker, batterier
C000713_no_015	elektromekaniker, bilbatteri
C000713_no_016	installatør, bilbatterier
C000713_no_017	montør, bilbatterier
C000713_no_018	reparatør, bilbatterier
C000714_no_000	skodesigner
C000715_no_000	leder innen offentlig arbeidsformidling
C000716_no_000	kvalitetsbedømmer, klær
C000716_no_001	gradør
C000717_no_000	leder av offentlig forvaltning
C000717_no_001	leder, departement
C000717_no_002	leder, direktorat
C000717_no_003	leder, fylkeskommune
C000717_no_004	leder, kommune
C000717_no_005	leder, lokalt myndighetsorgan
C000717_no_006	leder, offentlig forvaltning
C000717_no_007	leder, offentlig institusjon
C000717_no_008	leder, offentlig virksomhet
C000717_no_009	rådmann
C000718_no_000	kredittanalytiker
C000719_no_000	arbeidsleder, rørleggerarbeid
C000720_no_000	securities analyst
C000721_no_000	danser
C000722_no_000	skomaker, skreddersydde sko
C000722_no_001	skomaker, fremstilling av sko etter mål
C000723_no_000	dommer
C000724_no_000	marionettmaker
C000725_no_000	operatør, fleksotrykker
C000725_no_001	fleksografioperatør
C000725_no_002	fleksografisk trykker
C000725_no_003	fremstiller av fleksografiske trykkplater
C000725_no_004	kontrollør, fleksografi
C000725_no_005	maskinoperatør, fleksografi
C000725_no_006	montør, fleksografiske trykkplater
C000725_no_007	operatør, fleksografisk etikettpresse
C000725_no_008	operatør, fleksopresse
C000725_no_009	operatør, fleksotrykkmaskin
C000725_no_010	spesialist, fleksografi
C000725_no_011	spesialist, fleksografisk etikettpresse
C000725_no_012	tekniker, fleksografi
C000725_no_013	trykker, fleksografi
C000725_no_014	trykker, fleksografiske etiketter
C000726_no_000	ingeniør, integreringsteknologi
C000727_no_000	værvarsler
C000727_no_001	værkvinne
C000727_no_002	værmann
C000728_no_000	gateartist
C000729_no_000	spasjef
C000729_no_001	leder, spa- og velværebedrift
C000729_no_002	spadirektør
C000730_no_000	profesjonell idrettsutøver
C000731_no_000	spesialveterinær
C000732_no_000	scenetekniker, automatisk løfteutstyr
C000733_no_000	oppstartstekniker
C000734_no_000	områdesjef
C000734_no_001	daglig leder, filial
C000734_no_002	daglig leder, regionkontor
C000734_no_003	daglig leder, underavdeling
C000734_no_004	filialdirektør
C000734_no_005	filialsjef
C000734_no_006	regiondirektør
C000734_no_007	regionsjef
C000734_no_008	sjef, avdelingskontor
C000735_no_000	optimaliseringsekspert, søkemotorer
C000736_no_000	vann- og avløpstekniker
C000736_no_001	lekkasjetekniker
C000736_no_002	reparatør, vann- og avløpsnett
C000736_no_003	tekniker, vann- og avløpsnett
C000736_no_004	tekniker, vannforsyningsnett
C000736_no_005	tekniker, vannlekkasjer
C000736_no_006	vann- og avløpsarbeider
C000736_no_007	vann- og avløpsoperatør
C000736_no_008	vann- og kloakktekniker
C000736_no_009	vannforsyningstekniker
C000736_no_010	vannverksarbeider
C000736_no_011	vannverkstekniker
C000736_no_012	vedlikeholdstekniker, vann- og avløpsnett
C000737_no_000	innkjøper av råkaffe
C000738_no_000	universitetslærer i økonomi
C000739_no_000	reservedelskonsulent
C000739_no_001	delemedarbeider, buss
C000739_no_002	delemedarbeider, kjøretøyflåter
C000739_no_003	delemedarbeider, lastebil
C000739_no_004	delemedarbeider, lette kjøretøyer
C000739_no_005	delemedarbeider, tunge kjøretøyer
C000739_no_006	reservedelskonsulent, buss
C000739_no_007	reservedelskonsulent, kjøretøyflåter
C000739_no_008	reservedelskonsulent, lastebil
C000739_no_009	reservedelskonsulent, lette kjøretøyer
C000739_no_010	reservedelskonsulent, personbil
C000739_no_011	reservedelskonsulent, tunge kjøretøyer
C000740_no_000	frisør
C000740_no_001	barberer
C000740_no_002	hårdesigner
C000740_no_003	hårfarger
C000740_no_004	hårpleier
C000740_no_005	kosmetolog
C000740_no_006	parykkfrisør
C000740_no_007	spesialist, hodebunnsbehandling
C000741_no_000	kunstkonservator
C000742_no_000	kanalvert
C000743_no_000	golfinstruktør
C000744_no_000	energirådgiver, privathusholdninger
