C000001_nl_000	Beroepen bij de strijdkrachten
C000520_nl_000	Bedieningspersoneel van installaties voor het bekleden of voor andere oppervlaktebehandelingen van metalen
C000521_nl_000	Bedieningspersoneel van machines en installaties voor de vervaardiging van chemische en fotografische producten
C000522_nl_000	Bedieningspersoneel van machines en installaties voor de chemische industrie
C000523_nl_000	Bedieningspersoneel van machines voor de vervaardiging van fotografische producten
C000524_nl_000	Bedieningspersoneel van machines voor de vervaardiging van producten van rubber, kunststof of papier
C000525_nl_000	Bedieningspersoneel van machines voor de vervaardiging van producten van rubber
C000526_nl_000	Bedieningspersoneel van machines voor de vervaardiging van producten van kunststof
C000527_nl_000	Bedieningspersoneel van machines voor de vervaardiging van producten van papier
C000528_nl_000	Bedieningspersoneel van machines voor de vervaardiging van producten van textiel, bont en leer
C000529_nl_000	Bedieningspersoneel van machines voor het bereiden van spinvezels, het spinnen en het opwinden
C000530_nl_000	Bedieningspersoneel van weefgetouwen en breimachines
C000531_nl_000	Bedieningspersoneel van naaimachines
C000532_nl_000	Bedieningspersoneel van machines voor het bleken, het verven en het reinigen van weefsels
C000533_nl_000	Bedieningspersoneel van machines voor het bereiden van bont en leer
C000534_nl_000	Bedieningspersoneel van machines voor de vervaardiging van schoeisel e.d.
C000535_nl_000	Bedieningspersoneel van wasmachines
C000536_nl_000	Bedieningspersoneel van machines voor de vervaardiging van producten van textiel, bont en leer, niet elders geclassificeerd
C000537_nl_000	Bedieningspersoneel van machines voor de vervaardiging van voedingsmiddelen e.d.
C000538_nl_000	Bedieningspersoneel van machines voor de vervaardiging van voedingsmiddelen e.d.
C000539_nl_000	Bedieningspersoneel van installaties voor de houtbewerking en de vervaardiging van papier
C000540_nl_000	Bedieningspersoneel van machines voor de vervaardiging van papierpulp en papier
C000541_nl_000	Bedieningspersoneel van installaties voor de houtbewerking
C000542_nl_000	Bedieningspersoneel van andere stationaire machines en installaties
C000543_nl_000	Bedieningspersoneel van installaties voor de vervaardiging van glas en aardewerk
C000544_nl_000	Bedieningspersoneel van stoommachines en stoomketels
C000545_nl_000	Bedieningspersoneel van verpakkings-, bottel- en etiketteringsmachines
C000546_nl_000	Bedieningspersoneel van stationaire machines en installaties, niet elders geclassificeerd
C000547_nl_000	Assembleurs
C000548_nl_000	Assembleurs
C000549_nl_000	Assembleurs van mechanische werktuigen
C000550_nl_000	Assembleurs van elektrische en elektronische apparatuur
C000551_nl_000	Assembleurs, niet elders geclassificeerd
C000552_nl_000	Bestuurders van voertuigen en bedieningspersoneel van mobiele installaties
C000553_nl_000	Treinmachinisten e.d.
C000554_nl_000	Treinmachinisten
C000555_nl_000	Remmers, sein- en wisselwachters
C000556_nl_000	Chauffeurs van auto’s en bestelwagens en bestuurders van motorrijwielen
C000557_nl_000	Bestuurders van motorrijwielen
C000558_nl_000	Chauffeurs van auto’s, taxi’s en bestelwagens
C000559_nl_000	Vrachtwagen- en buschauffeurs
C000560_nl_000	Buschauffeurs en trambestuurders
C000561_nl_000	Vrachtwagenchauffeurs
C000562_nl_000	Bedieningspersoneel van mobiele installaties
C000563_nl_000	Bedieningspersoneel van mobiele land- en bosbouwmachines
C000564_nl_000	Bedieningspersoneel van grondverzetmachines e.d.
C000565_nl_000	Kraandrijvers en bedieningspersoneel van takels e.d.
C000566_nl_000	Heftruckbestuurders
C000567_nl_000	Dekpersoneel op schepen e.d.
C000568_nl_000	Dekpersoneel op schepen e.d.
C000569_nl_000	Elementaire beroepen
C000570_nl_000	Huishoudelijke hulpen en schoonmakers
C000571_nl_000	Huishoudelijke hulpen en schoonmakers in huishoudens, hotels en kantoren
C000572_nl_000	Huishoudelijke hulpen en schoonmakers in huishoudens
C000573_nl_000	Schoonmakers in hotels, kantoren e.d.
C000574_nl_000	Autowassers, glazenwassers, wasserijpersoneel en andere handwassers
C000575_nl_000	Personeel voor het wassen en strijken met de hand
C000576_nl_000	Autowassers
C000577_nl_000	Glazenwassers
C000578_nl_000	Andere schoonmakers
C000579_nl_000	Ongeschoolde arbeiders in de land- en bosbouw en de visserij
C000580_nl_000	Ongeschoolde arbeiders in de land- en bosbouw en de visserij
C000581_nl_000	Ongeschoolde arbeiders in de akkerbouw
C000582_nl_000	Ongeschoolde arbeiders in de veeteelt
C000583_nl_000	Ongeschoolde arbeiders op gemengde bedrijven
C000584_nl_000	Ongeschoolde arbeiders in de tuinbouw
C000585_nl_000	Ongeschoolde arbeiders in de bosbouw
C000586_nl_000	Ongeschoolde arbeiders in de visserij en de visteelt
C000587_nl_000	Ongeschoolde arbeiders in de mijnbouw, de bouwnijverheid, de industrie en het vervoer
C000588_nl_000	Ongeschoolde arbeiders in de mijnbouw en de bouwnijverheid
C000589_nl_000	Ongeschoolde arbeiders in de mijnbouw en in steengroeven
C000590_nl_000	Ongeschoolde arbeiders in de weg- en waterbouw
C000591_nl_000	Ongeschoolde arbeiders in de burgerlijke en utiliteitsbouw
C000592_nl_000	Ongeschoolde arbeiders in de industrie
C000593_nl_000	Inpakkers
C000594_nl_000	Ongeschoolde arbeiders in de industrie, niet elders geclassificeerd
C000595_nl_000	Ongeschoolde arbeiders op het gebied van vervoer en opslag
C000596_nl_000	Bestuurders van (bak)fietsen en handkarren
C000597_nl_000	Bestuurders van door dieren getrokken voertuigen en machines
C000598_nl_000	Laders en lossers
C000599_nl_000	Schappenvullers
C000600_nl_000	Assistenten bij de bereiding van levensmiddelen
C000601_nl_000	Assistenten bij de bereiding van levensmiddelen
C000602_nl_000	Bereiders van fastfood
C000603_nl_000	Keukenhulpen
C000604_nl_000	Straatverkopers en op straat uitgeoefende dienstverlenende beroepen
C000605_nl_000	Op straat uitgeoefende dienstverlenende beroepen
C000606_nl_000	Op straat uitgeoefende dienstverlenende beroepen
C000607_nl_000	Straatverkopers (m.u.v. voedsel)
C000608_nl_000	Straatverkopers (m.u.v. voedsel)
C000609_nl_000	Vuilnisophalers en -verwerkers en andere elementaire beroepen
C000610_nl_000	Vuilnisophalers en -verwerkers
C000611_nl_000	Vuilnisophalers en ophalers van afval voor recycling
C000612_nl_000	Vuilnissorteerders
C000613_nl_000	Straatvegers e.d.
C000614_nl_000	Andere elementaire beroepen
C000615_nl_000	Boden, kruiers en bestellers
C000616_nl_000	Losse arbeiders
C000617_nl_000	Meteropnemers en geldophalers verkoopautomaten
C000618_nl_000	Waterdragers en brandhoutverzamelaars
C000619_nl_000	Elementaire beroepen, niet elders geclassificeerd
C000620_nl_000	inspiciënt
C000620_nl_001	chef-inspiciënt
C000620_nl_002	inspiciënte
C000620_nl_003	technisch directeur
C000620_nl_004	toneelmeester
C000621_nl_000	operator draadtrekmachine
C000621_nl_001	bediener van draadtreklijnen
C000621_nl_002	bediener van persen in de draadtrekkerij
C000621_nl_003	draadtrekker
C000621_nl_004	operator draadtrekkerij
C000621_nl_005	profileerder draadtrekkerij
C000621_nl_006	spoeler draadtrekkerij
C000621_nl_007	wikkelaar draadtrekkerij
C000622_nl_000	inspecteur precisie-instrumenten
C000622_nl_001	keurder precisie-instrumenten
C000622_nl_002	keurster precisie-instrumenten
C000622_nl_003	kwaliteitscontroleur precisie-instrumenten
C000622_nl_004	kwaliteitsinspecteur precisie-instrumenten
C000622_nl_005	kwaliteitsinspectrice precisie-instrumenten
C000623_nl_000	monteur veiligheidssystemen luchtvaart
C000623_nl_001	monteuse veiligheidssystemen luchtvaart
C000623_nl_002	radartechnicus
C000623_nl_003	technica veilgheidssystemen luchtvaart
C000623_nl_004	technicus veilgheidssystemen luchtvaart
C000624_nl_000	revenue manager
C000624_nl_001	omzetbeheerder
C000624_nl_002	omzetmanager
C000624_nl_003	yield manager
C000625_nl_000	biomedisch laboratoriummedewerker
C000625_nl_001	laboratoriumassistent medisch laboratorium
C000625_nl_002	laboratoriumassistente medisch laboratorium
C000625_nl_003	medewerker laboratoriumondersteuning
C000625_nl_004	medewerker monsterontvangst
C000625_nl_005	medewerker preanalytische afdeling
C000625_nl_006	preanalytisch medewerker medisch laboratorium
C000626_nl_000	asfaltlaborant
C000626_nl_001	asfalttechnicus
C000626_nl_002	asfalttechnoloog
C000626_nl_003	asfaltwegenbouwlaborant
C000626_nl_004	laboratoriumtechnicus asfalt
C000626_nl_005	labotechnicus asfalt
C000626_nl_006	technicus asfaltproductie
C000626_nl_007	technicus wegbedekking
C000626_nl_008	technisch supervisor asfaltproductie
C000627_nl_000	onderwijsassistent basisonderwijs
C000627_nl_001	klassenassistent basisonderwijs
C000627_nl_002	klassenassistent lager onderwijs
C000627_nl_003	klassenassistente basisonderwijs
C000627_nl_004	klassenassistente lager onderwijs
C000627_nl_005	onderwijsassistent lager onderwijs
C000627_nl_006	onderwijsassistente basisonderwijs
C000627_nl_007	onderwijsassistente lager onderwijs
C000628_nl_000	fysiotherapeut
C000628_nl_001	algemene kinesist
C000628_nl_002	algemene kinesiste
C000628_nl_003	algemene kinesitherapeut
C000628_nl_004	algemene kinesitherapeute
C000628_nl_005	arbeidsfysiotherapeut
C000628_nl_006	arbeidsfysiotherapeute
C000628_nl_007	bedrijfsfysiotherapeut
C000628_nl_008	bedrijfsfysiotherapeute
C000628_nl_009	bewegingstherapeut
C000628_nl_010	bewegingstherapeute
C000628_nl_011	fysiotherapeute
C000628_nl_012	kinesist
C000628_nl_013	kinesiste
C000628_nl_014	kinesitherapeut
C000628_nl_015	kinesitherapeute
C000628_nl_016	oefentherapeut
C000628_nl_017	oefentherapeute
C000629_nl_000	docent drama hoger onderwijs
C000629_nl_001	docent acteren hoger onderwijs
C000629_nl_002	docent theater hoger onderwijs
C000629_nl_003	docente acteren hoger onderwijs
C000629_nl_004	docente drama hoger onderwijs
C000629_nl_005	docente theater hoger onderwijs
C000629_nl_006	lector acteren
C000629_nl_007	lector drama
C000629_nl_008	lector theater
C000630_nl_000	hydrogeneermachinebediener
C000630_nl_001	hydrogenatietechnicus
C000630_nl_002	hydrogenatietechnologe
C000630_nl_003	hydrogenatietechnoloog
C000631_nl_000	operator pastamaker
C000631_nl_001	bediener pastamachine
C000631_nl_002	bediener van pastamachine
C000631_nl_003	operator van pastamaker
C000631_nl_004	operators pastamaker
C000631_nl_005	pastamakeroperator
C000632_nl_000	manager tabakswinkel
C000632_nl_001	bedrijfsleider verkoop tabaks- en gemaksartikelen
C000632_nl_002	bedrijfsleidster verkoop tabaks- en gemaksartikelen
C000632_nl_003	filiaalbeheerder verkoop tabaks- en gemaksartikelen
C000632_nl_004	filiaalbeheerster verkoop tabaks- en gemaksartikelen
C000632_nl_005	filiaalleider verkoop tabaks- en gemaksartikelen
C000632_nl_006	filiaalleidster verkoop tabaks- en gemaksartikelen
C000632_nl_007	filiaalmanager verkoop tabaks- en gemaksartikelen
C000632_nl_008	gerant van een tabakspeciaalzaak
C000632_nl_009	gerant van een tabaksspeciaalzaak
C000632_nl_010	gerant van een tabakswinkel
C000632_nl_011	gerante van een tabakspeciaalzaak
C000632_nl_012	gerante van een tabaksspeciaalzaak
C000632_nl_013	gerante van een tabakswinkel
C000632_nl_014	manager detailhandel tabaks- en gemaksartikelen
C000632_nl_015	onderneemster detailhandel tabaks- en gemaksartikelen
C000632_nl_016	onderneemster verkoop tabaks- en gemaksartikelen
C000632_nl_017	ondernemer detailhandel tabaks- en gemaksartikelen
C000632_nl_018	ondernemer verkoop tabaks- en gemaksartikelen
C000632_nl_019	verantwoordelijke van een tabakspeciaalzaak
C000632_nl_020	verantwoordelijke van een tabaksspeciaalzaak
C000632_nl_021	verantwoordelijke van een tabakswinkel
C000632_nl_022	winkelier tabaks- en gemaksartikelen
C000633_nl_000	verhuurmedewerker van andere machines, materialen en roerende goederen
C000633_nl_001	medewerker verhuur van andere machines, materialen en roerende goederen
C000633_nl_002	medewerkster verhuur van andere machines, materialen en roerende goederen
C000633_nl_003	verhuurmedewerkster van andere machines, materialen en roerende goederen
C000634_nl_000	mijnmeter
C000634_nl_001	engineer electriciteit & instrumentatie
C000634_nl_002	engineer electriciteit en instrumentatie
C000634_nl_003	engineer electro & instrumentatie;
C000634_nl_004	mijnopmeter
C000635_nl_000	specialist voedselveiligheid
C000635_nl_001	QA medewerker voedingsmiddelen
C000635_nl_002	QA-medewerker voedingsmiddelen
C000635_nl_003	Quality Assurance medewerker voedingsmiddelen
C000635_nl_004	adviseur voedselveiligheid
C000635_nl_005	consulent voedselveiligheid
C000635_nl_006	consulente voedselveiligheid
C000635_nl_007	kwaliteitsmedewerker levensmiddelen
C000635_nl_008	kwaliteitsmedewerker voedingssector
C000635_nl_009	productiemedewerker versindustrie
C000635_nl_010	quality assurance-medewerker voedingsmiddelen
C000635_nl_011	specialist kwaliteit & voedselveiligheid
C000635_nl_012	specialiste kwaliteit & voedselveiligheid
C000635_nl_013	specialiste voedselveiligheid
C000635_nl_014	voedingsoperator
C000636_nl_000	technicus landbouwmachines
C000636_nl_001	landbouwwerktuigkkundige
C000636_nl_002	mechanicien landbouwmachines
C000637_nl_000	buschauffeur
C000637_nl_001	autobusbestuurder
C000637_nl_002	autobusbestuurster
C000637_nl_003	autobuschauffeur
C000637_nl_004	bestuurder bus
C000637_nl_005	bestuurder van een bus
C000637_nl_006	bestuurster bus
C000637_nl_007	bestuurster van een bus
C000637_nl_008	busbestuurder
C000637_nl_009	busbestuurster
C000637_nl_010	chauffeur bus
C000637_nl_011	chauffeur van een bus
C000638_nl_000	import-exportmanager vlees en vleesproducten
C000638_nl_001	afdelingshoofd internationale transit vlees en vleesproducten
C000638_nl_002	coördinator transit vlees en vleesproducten
C000638_nl_003	customs compliance manager vlees en vleesproducten
C000638_nl_004	customs manager vlees en vleesproducten
C000638_nl_005	expediteur import vlees en vleesproducten
C000638_nl_006	exportmanager vlees en vleesproducten
C000638_nl_007	hoofd douanezaken vlees en vleesproducten
C000638_nl_008	import- en exportmanager vlees en vleesproducten
C000638_nl_009	importmanager vlees en vleesproducten
C000638_nl_010	manager douanezaken vlees en vleesproducten
C000638_nl_011	manager import-export vlees en vleesproducten
C000638_nl_012	manager import-exportbedrijf vlees en vleesproducten
C000638_nl_013	manager internationale handel vlees en vleesproducten
C000638_nl_014	manager transit vlees en vleesproducten
C000638_nl_015	supervisor import-export vlees en vleesproducten
C000639_nl_000	beleidsmedewerker volkshuisvesting
C000639_nl_001	beleidsambtenaar huisvesting
C000639_nl_002	beleidsambtenaar volkshuisvesting
C000639_nl_003	beleidsmedewerker huisvesting
C000640_nl_000	chefkok
C000640_nl_001	chef
C000640_nl_002	chef de cuisine
C000640_nl_003	chef-kok
C000640_nl_004	hoofdkok
C000640_nl_005	keukenchef
C000640_nl_006	keukenmanager
C000640_nl_007	sous-chef
C000641_nl_000	machineoperator chemisch gebonden non-wovens
C000641_nl_001	machinebediener non-wovens (chemisch)
C000641_nl_002	machinebediener nonwovens (chemisch)
C000641_nl_003	machineoperator chemisch gebonden nonwovens
C000641_nl_004	machineoperator non-wovens (chemisch)
C000641_nl_005	machineoperator nonwovens (chemisch)
C000641_nl_006	operator machines voor non-wovenproducten (chemisch)
C000641_nl_007	operator machines voor nonwovenproducten (chemisch)
C000641_nl_008	operator non-wovenproductielijn (chemisch)
C000641_nl_009	operator nonwovenproductielijn (chemisch)
C000641_nl_010	operator productie non-wovenproducten (chemisch)
C000641_nl_011	operator productie nonwovenproducten (chemisch)
C000641_nl_012	operator vliesstofvervaardiging (chemisch)
C000641_nl_013	productiemedewerker non-wovens (chemisch)
C000641_nl_014	productiemedewerker nonwovens (chemisch)
C000641_nl_015	productiemedewerkster non-wovens (chemisch)
C000642_nl_000	directeur hogeronderwijsinstelling
C000642_nl_001	algemeen directeur hogeschool
C000642_nl_002	algemeen directrice hogeschool
C000642_nl_003	directeur hoger onderwijs
C000642_nl_004	directeur hogeschool
C000642_nl_005	directeur instelling voor hoger onderwijs
C000642_nl_006	directrice hoger onderwijs
C000642_nl_007	directrice hogeronderwijsinstelling
C000642_nl_008	directrice hogeschool
C000642_nl_009	directrice instelling voor hoger onderwijs
C000642_nl_010	rector
C000642_nl_011	rector magnificus
C000642_nl_012	rectrice
C000642_nl_013	rectrix
C000642_nl_014	rectrix magnifica
C000642_nl_015	voorzitster hogeschool
C000642_nl_016	voorzitster van het college van bestuur
C000642_nl_017	voorzitter hogeschool
C000642_nl_018	voorzitter van het college van bestuur
C000643_nl_000	teamleider isolatie
C000643_nl_001	ploegbaas isolatiewerken
C000643_nl_002	teamleider isolatieplaatsing
C000644_nl_000	ontmantelingsdeskundige
C000645_nl_000	schadebehandelaar
C000645_nl_001	brandschadebehandelaar
C000645_nl_002	brandschadebehandelaarster
C000645_nl_003	casebehandelaar
C000645_nl_004	casebehandelaar verzekeringen
C000645_nl_005	casebehandelaarster
C000645_nl_006	casebehandelaarster verzekeringen
C000645_nl_007	claimbehandelaar
C000645_nl_008	claimbehandelaarster
C000645_nl_009	claimsbehandelaar
C000645_nl_010	claimsbehandelaarster
C000645_nl_011	letselschadebehandelaar
