Q000001	adjunct al procurorului general
Q003123	operator montaj linii automate
Q003124	lacatus montator pentru utilaje industriale, de constructii si agricole
Q003125	pregatitor si montator utilaje tehnologice
Q003126	montator aparate aer conditionat
Q003127	operator calitate flux
Q003128	operator fabricatie flux
Q003129	lacatus-montator masini electrice rotative, transformatoare si aparatajelectric
Q003130	confectioner protectie dielectrica pentru acumulatori
Q003131	morar la prepararea materialelor pentru acumulatori
Q003132	confectioner gratare si accesorii pentru acumulatori
Q003133	confectioner placi pentru acumulatori
Q003134	preparator lesie pentru acumulatori
Q003135	montator acumulatori
Q003136	confectioner cabluri si arbori de cabluri
Q003137	montator-reglor, depanator aparate electronice, telecomunicatii, radio
Q003138	confectioner tuburi cinescop
Q003139	montator-reglor,  depanator  de  instalatii  de  electronica  si  curentipurtatori
Q003140	montator-reglor,  depanator  de  aparate  radio  si  TV,  redresoare  siamplificatoare
Q003141	confectioner piese radio si semiconductori
Q003142	confectioner circuite integrate
Q003143	confectioner scala radio
Q003144	montator, reglor, testor tehnica de calcul
Q003145	confectioner lampi fluorescente
Q003146	confectioner lampi cu vapori de mercur
Q003147	confectioner lampi cu vapori de sodiu
Q003148	confectioner becuri
Q003149	montator electromecanic
Q003150	asamblor biciclete
Q003151	asamblor jucarii
Q003152	asamblor articole de sport
Q003153	operator la fabricarea fermoarelor
Q003154	confectioner  de  bete,  lansete,  manere  si  dopuri  pentru  unelte  depescuit
Q003155	confectioner-asamblor articole din lemn
Q003156	confectioner-asamblor articole din carton
Q003157	confectioner-asamblor articole din textile
Q003158	montor articole din piele
Q003159	mecanic locomotiva si automotor
Q003160	mecanic ajutor locomotiva si automotor
Q003161	manevrant vagoane
Q003162	acar
Q003163	sef tren
Q003164	paznic bariera
Q003165	revizor ace
Q003166	pilot incercare auto
Q003167	conducator tramvai (vatman)
Q003168	conducator auto transport rutier de marfuri
Q003169	sofer transport valori bancare
Q003170	lucrator operativ pentru autocontainere
Q003171	conducator autospeciala
Q003172	camionagiu
Q003173	tractorist
Q003174	combiner agricol
Q003175	mecanic de exploatare in cultura mare
Q003176	mecanic de exploatare in zootehnie
Q003177	masinist la instalatiile de preparat si turnat beton si mixturi asfaltice
Q003178	operator la utilaje de reabilitari conducte subterane
Q003179	operator la utilaje pentru subtraversari
Q003180	macaragiu
Q003181	funicularist
Q003182	macaragiu macarale plutitoare
Q003183	sofer automacaragiu
Q003184	supraveghetor statie senal navigabil
Q003185	mecanizator (muncitor portuar)
Q003186	liftier
Q003187	docher
Q003188	sef echipa docheri
Q003189	docher instalatii de incarcare/ descarcare la bordul navei si cheu
Q003190	docher-amarator
Q003191	docher-mecanizator
Q003192	macaragiu portuar
Q003193	operator la platforme pentru lucru la inaltime
Q003194	masinist la masini mobile pentru transporturi interioare
Q003195	masinist la alte masini fixe de transport pe orizontala si verticala
Q003196	stivuitorist
Q003197	tractorist portuar
Q003198	conducator autotrailer
Q003199	conducator autoincarcator portuar
Q003200	stivuitorist portuar
Q003201	marinar, pilot naval, barjist
Q003202	observator far maritim si statie semnal de ceata
Q003203	marinar legator
Q003204	pontonier feribot
Q003205	servator far maritim si statie semnal de ceata
Q003206	timonier maritim/ fluvial
Q003207	menajera
Q003208	femeie de serviciu
Q003209	ingrijitor spatii hoteliere
Q003210	lucrator room-service hotel
Q003211	curatatoreasa lenjerie
Q003212	spalatoreasa lenjerie
Q003213	spalator covoare innodate
Q003214	spalator vehicule
Q003215	spalator vitrine si geamuri
Q003216	muncitor necalificat in agricultura
Q003217	vacar
Q003218	ingrijitor pomi
Q003219	muncitor necalificat in silvicultura
Q003220	taietor manual lemn de foc
Q003221	muncitor necalificat in pescuit si vanatoare
Q003222	muncitor piscicol
Q003223	muncitor necalificat in mine si cariere
Q003224	ingrijitor spatii verzi
Q003225	muncitor necalificat la intretinerea de drumuri, sosele, poduri, baraje
Q003226	sapator manual
Q003227	muncitor necalificat la spargerea si taierea materialelor de constructii
Q003228	ambalator manual
Q003229	marcator piese
Q003230	muncitor  necalificat  la  ambalarea  produselor  sub  forma  de  praf  sigranule
Q003231	muncitor necalificat la ambalarea produselor solide si semisolide
Q003232	muncitor necalificat la asamblarea, montarea pieselor
Q003233	lucrator sortator deseuri reciclabile
Q003234	imbuteliator gaz petrol lichefiat
Q003235	umplutor sifoane
Q003236	caraus
Q003237	incarcator-descarcator
Q003238	manipulant marfuri
Q003239	operator transport si distribuire butelii de GPL
Q003240	muncitor spalare si curatare cisterne
Q003241	muncitor in serviciile de trafic aerian
Q003242	ajutor bucatar
Q003243	lucrator bucatarie (spalator vase mari)
Q003244	lustragiu
Q003245	vanzator ambulant de produse nealimentare
Q003246	vanzator de ziare
Q003247	lucrator operativ pentru autocompactoare
Q003248	lucrator pentru salubrizare cai publice
Q003249	lucrator pentru salubrizare spatii verzi
Q003250	lucrator pentru salubrizare
Q003251	lucrator utilaje specializate pentru salubrizare
Q003252	hamal
Q003253	comisioner
Q003254	distribuitor presa
Q003255	gropar
Q003256	incinerator
Q003257	prinzator caini
Q003258	operator deratizare, dezinsectie, dezinfectie
Q003259	cantaragiu
Q003260	casier incasator
Q003261	incasator si cititor contoare de energie electrica, gaze, apa
Q003262	vidanjor-curatitor canale
Q003263	model (invatamant)
Q003264	gonaci
Q003265	garderobier
Q003266	ucenic
Q003267	aprod
Q003268	controlor poarta
Q003269	paznic
Q003270	plasator
Q003271	portar
Q003272	supraveghetor noapte (invatamant)
Q003273	supraveghetor hotel
