C000001_en_000	Armed forces occupations
C000629_en_008	theatre instructor
C000629_en_009	theatre instructor in performing arts school
C000630_en_000	hydrogenation machine operator
C000630_en_001	hydrogenation machine operative
C000630_en_002	hydrogenation operator
C000630_en_003	hydrogenation process operator
C000630_en_004	hydrogenator
C000631_en_000	pasta operator
C000631_en_001	pasta maker
C000631_en_002	pasta manufacturer
C000631_en_003	pasta production operator
C000632_en_000	tobacco shop manager
C000632_en_001	cigar and cigarette shop manager
C000632_en_002	cigar and cigarette store manager
C000632_en_003	cigar shop manager
C000632_en_004	cigar store manager
C000632_en_005	cigarette shop manager
C000632_en_006	cigarette store manager
C000632_en_007	pipe smokers shop manager
C000632_en_008	purveyor of tobacco and tobacco products
C000632_en_009	smokers products shop manager
C000632_en_010	tobacco store manager
C000632_en_011	tobacconist shop manager
C000632_en_012	tobacconist store manager
C000632_en_013	tobacconists shop manager
C000632_en_014	tobacconists store manager
C000633_en_000	rental service representative in other machinery, equipment and tangible goods
C000633_en_001	rental advisor in other machinery, equipment and tangible goods
C000633_en_002	rental sales assistant in other machinery, equipment and tangible goods
C000633_en_003	rental sales desk agent in other machinery, equipment and tangible goods
C000633_en_004	rental sales desk clerk in other machinery, equipment and tangible goods
C000633_en_005	rental sales desk supervisor in other machinery, equipment and tangible goods
C000633_en_006	rental sales manager in other machinery, equipment and tangible goods
C000633_en_007	rental sales supervisor in other machinery, equipment and tangible goods
C000633_en_008	rental sales team leader in other machinery, equipment and tangible goods
C000633_en_009	rental sales worker in other machinery, equipment and tangible goods
C000633_en_010	rental service assistant in other machinery, equipment and tangible goods
C000633_en_011	rental service desk agent in other machinery, equipment and tangible goods
C000633_en_012	rental service desk clerk in other machinery, equipment and tangible goods
C000633_en_013	rental service desk supervisor in other machinery, equipment and tangible goods
C000633_en_014	rental service manager in other machinery, equipment and tangible goods
C000633_en_015	rental service supervisor in other machinery, equipment and tangible goods
C000633_en_016	rental service team leader in other machinery, equipment and tangible goods
C000633_en_017	rental service worker in other machinery, equipment and tangible goods
C000633_en_018	rental specialist in other machinery, equipment and tangible goods
C000634_en_000	mine surveyor
C000634_en_001	mine operations surveyor
C000634_en_002	mine plan maker
C000634_en_003	mine planning surveyor
C000634_en_004	mine records keeper
C000634_en_005	mine surveyors
C000634_en_006	mining surveyor
C000634_en_007	planner of mining operations
C000635_en_000	food safety specialist
C000635_en_001	HACCP compliance manager
C000635_en_002	assistant food safety specialist
C000635_en_003	food compliance manager (food safety)
C000635_en_004	food hygiene specialist
C000635_en_005	food production quality controller
C000635_en_006	food quality controller
C000635_en_007	food safety advisor
C000635_en_008	food safety consultant
C000635_en_009	food safety controller
C000635_en_010	food safety monitor
C000635_en_011	food safety technician
C000635_en_012	food scientist
C000635_en_013	senior food safety specialist
C000635_en_014	technical manager for food safety
C000635_en_015	trainee food safety specialist
C000636_en_000	land-based machinery technician
C000636_en_001	land-based machinery mechanic
C000636_en_002	land-based machinery technicians
C000636_en_003	landbased machinery technician
C000637_en_000	bus driver
C000637_en_001	bus driving operator
C000637_en_002	bus operator
C000637_en_003	coach driver
C000637_en_004	driver of bus
C000637_en_005	intercity bus driver
C000637_en_006	international bus driver
C000637_en_007	passenger driver
C000637_en_008	private bus operator
C000637_en_009	private coach driver
C000637_en_010	public bus driver
C000637_en_011	public bus operator
C000637_en_012	public service vehicle operator
C000637_en_013	schoolbus driver
C000637_en_014	touristic bus driver
C000637_en_015	transit bus driver
C000638_en_000	import export manager in meat and meat products
C000638_en_001	assistant export manager in meat and meat products
C000638_en_002	assistant import export manager in meat and meat products
C000638_en_003	assistant import manager in meat and meat products
C000638_en_004	customs compliance manager in meat and meat products
C000638_en_005	graduate export manager in meat and meat products
C000638_en_006	graduate import export manager in meat and meat products
C000638_en_007	graduate import manager in meat and meat products
C000638_en_008	international trade compliance manager in meat and meat products
C000638_en_009	international trade manager in meat and meat products
C000638_en_010	senior export manager in meat and meat products
C000638_en_011	senior import export manager in meat and meat products
C000638_en_012	senior import manager in meat and meat products
C000638_en_013	trainee export manager in meat and meat products
C000638_en_014	trainee import export manager in meat and meat products
C000638_en_015	trainee import manager in meat and meat products
C000639_en_000	housing policy officer
C000639_en_001	affordable housing policy officer
C000639_en_002	housing policy advisor
C000639_en_003	housing policy analyst
C000639_en_004	housing policy and strategy officer
C000639_en_005	housing policy development officer
C000639_en_006	housing policy researcher
C000639_en_007	policy officer
C000639_en_008	policy officer, planning and housing
C000639_en_009	senior housing policy officer
C000640_en_000	head chef
C000640_en_001	chef de cuisine
C000640_en_002	executive chef
C000640_en_003	head of kitchen
C000640_en_004	industrial head chef
C000640_en_005	kitchen manager
C000640_en_006	managing partner head chef
C000640_en_007	master Chef
C000640_en_008	master chef
C000640_en_009	master kitchen manager
C000640_en_010	patron cuisinier
C000640_en_011	sous chef
C000641_en_000	nonwoven filament machine operator
C000641_en_001	non woven filament machine operator
C000641_en_002	non woven yarn worker
C000641_en_003	non-woven filament machine operator
C000641_en_004	non-woven yarn worker
C000641_en_005	nonwoven filament machinist
C000641_en_006	nonwoven yarn worker
C000642_en_000	head of higher education institutions
C000642_en_001	rector for higher education institutions
C000642_en_002	rector of higher education
C000642_en_003	university chancellor
C000643_en_000	insulation supervisor
C000643_en_001	cavity wall insulation installation supervisor
C000643_en_002	insulation installers supervisor
C000643_en_003	loft insulation installation supervisor
C000643_en_004	solid wall insulation installation supervisor
C000643_en_005	supervisor of installation of insulating materials
C000643_en_006	supervisor of installation of insulation
C000643_en_007	supervisor of insulation materials installation
C000644_en_000	dismantling engineer
C000644_en_001	disassembly planner
C000644_en_002	dismantling manager
C000644_en_003	dismantling planner
C000645_en_000	insurance claims handler
C000645_en_001	casualty insurance adjuster
C000645_en_002	civil damages inspector
C000645_en_003	claims adjuster
C000645_en_004	claims analyst
C000645_en_005	claims consultant
C000645_en_006	claims examiner
C000645_en_007	claims handler
C000645_en_008	claims inspector
C000645_en_009	claims processor
C000645_en_010	claims representative
C000645_en_011	claims service supervisor
C000645_en_012	contract claims examiner
C000645_en_013	insurance claims analyst
C000645_en_014	insurance claims assessor
C000645_en_015	insurance claims consultant
C000645_en_016	insurance claims examiner
C000645_en_017	insurance claims inspector
C000645_en_018	insurance claims officer
C000645_en_019	insurance claims processor
C000645_en_020	property and casualty insurance claims examiner
C000645_en_021	travelling insurance assessor
C000646_en_000	clothing development manager
C000646_en_001	apparel product developer
C000646_en_002	clothes product developer
C000646_en_003	clothing manager
C000646_en_004	clothing product manager
C000646_en_005	sample room manager
C000647_en_000	nitroglycerin separator operator
C000647_en_001	chemical equipment operative
C000647_en_002	chemical equipment operator
C000647_en_003	chemical equipment worker
C000647_en_004	gravity separator operator
C000647_en_005	nitro-separator operative
C000647_en_006	nitro-separator operator
C000647_en_007	nitroglycerin gravity separator
C000647_en_008	nitroglycerin separator operative
C000647_en_009	nitroglycerin separator tender
C000647_en_010	nitroglycerin separator worker
C000647_en_011	nitroglycerin- separator operative
C000647_en_012	nitroglycerin-separator operator
C000647_en_013	nitroglycerin-separator tender
C000647_en_014	nitroglycerin-separator worker
C000648_en_000	biomedical engineer
C000648_en_001	BME adviser
C000648_en_002	BME consultant
C000648_en_003	BME expert
C000648_en_004	BME specialist
C000648_en_005	bio-medical engineer
C000648_en_006	biomedical engineering adviser
